"Away"  "Draw"  "Home"
"529"  0.34  0.28  0.38
"530"  0.34  0.46  0.2
"531"  0.53  0.17  0.3
"532"  0.64  0.18  0.18
"533"  0.39  0.07  0.53
"534"  0.02  0.13  0.85
"535"  0.31  0.42  0.27
"536"  0.29  0.19  0.52
"537"  0.05  0.26  0.7
"538"  0.38  0.38  0.24
"539"  0.49  0.21  0.3
"540"  0.44  0.21  0.35
"541"  0.74  0.09  0.17
"542"  0.22  0.18  0.6
"543"  0.13  0.33  0.54
"544"  0.32  0.2  0.48
"545"  0.36  0  0.64
"546"  0.75  0.1  0.14
"547"  0.32  0.31  0.38
"548"  0.71  0  0.29
"549"  0.11  0.49  0.4
"550"  0.55  0  0.45
"551"  0.38  0  0.62
"552"  0.14  0.3  0.57
"553"  0.15  0  0.85
"554"  0.19  0.42  0.39
"555"  0  0.51  0.49
"556"  0.56  0.17  0.27
"557"  1  0  0
"558"  0.75  0.03  0.21
"559"  0.41  0.27  0.32
"560"  0.33  0.31  0.36
"561"  0.19  0.26  0.55
"562"  0.28  0.21  0.51
"563"  0.46  0.22  0.32
"564"  0.51  0.28  0.21
"565"  0.14  0.14  0.71
"566"  0.02  0.09  0.89
"567"  0.72  0.1  0.18
"568"  0.55  0.31  0.14
"569"  0.15  0.18  0.67
"570"  0.19  0.24  0.58
"571"  0.13  0.51  0.36
"572"  0.49  0.21  0.3
"573"  0.29  0.24  0.47
"574"  0.48  0.19  0.33
"575"  0.5  0.06  0.44
"576"  0.21  0.17  0.62
"577"  0  1  0
"578"  0.25  0.44  0.31
"579"  0.32  0.31  0.37
"580"  0.38  0.26  0.37
"581"  0.4  0.26  0.33
"582"  0.22  0.18  0.6
"583"  0.1  0.11  0.79
"584"  0.45  0.31  0.24
"585"  0.01  0.1  0.89
"586"  0.07  0.27  0.66
"587"  0.08  0.2  0.73
"588"  0.54  0.11  0.35
"589"  0.54  0.2  0.26
"590"  0.51  0.22  0.27
"591"  0.43  0.36  0.21
"592"  0.53  0.06  0.41
"593"  0.93  0.03  0.04
"594"  0.05  0.22  0.73
"595"  0.26  0.27  0.47
"596"  0.4  0.16  0.44
"597"  0.27  0.15  0.58
"598"  0.25  0.29  0.46
"599"  0.44  0.17  0.38
"600"  0.64  0.05  0.3
"601"  0.76  0.11  0.14
"602"  0.27  0.26  0.47
"603"  0.95  0.04  0.01
"604"  0.31  0.18  0.51
"605"  0.17  0.41  0.41
"606"  0.06  0.11  0.83
"607"  0.08  0.34  0.58
"608"  0.25  0.37  0.38
"609"  0.02  0.12  0.86
"610"  0.51  0.21  0.27
"611"  0.15  0.21  0.64
"612"  0.26  0.27  0.47
"613"  0.13  0.34  0.53
"614"  0  1  0
"615"  0.29  0  0.71
"616"  0.1  0.12  0.78
"617"  0.61  0.18  0.2
"618"  0.17  0.32  0.51
"619"  0.07  0.2  0.73
"620"  0.45  0.55  0
"621"  0.45  0.3  0.24
"622"  0.93  0.04  0.04
"623"  0.26  0.11  0.63
"624"  0.66  0.14  0.2
"625"  0.78  0.16  0.07
"626"  0.56  0.16  0.28
"627"  0.48  0.21  0.31
"628"  0.1  0.23  0.68
"629"  0.46  0.13  0.42
"630"  0.04  0.23  0.73
"631"  0.14  0.13  0.73
"632"  0.27  0.33  0.4
"633"  0.5  0.24  0.25
"634"  0.16  0.11  0.73
"635"  0.11  0.38  0.51
"636"  0.05  0.38  0.57
"637"  0.38  0.27  0.35
"638"  0.01  0.12  0.87
"639"  0.17  0.24  0.59
"640"  0.7  0  0.3
"641"  0.14  0.17  0.68
"642"  0.83  0  0.17
"643"  0.57  0.07  0.36
"644"  0.22  0.27  0.51
"645"  0.42  0.24  0.34
"646"  0.09  0.22  0.69
"647"  0.63  0.2  0.17
"648"  0.79  0.14  0.06
"649"  0.79  0.07  0.14
"650"  0.65  0.14  0.21
"651"  0.28  0.19  0.53
"652"  0.57  0.18  0.25
"653"  0.05  0.43  0.51
"654"  0.75  0.07  0.18
"655"  0.68  0.21  0.11
"656"  0.68  0.15  0.17
"657"  0.05  0.14  0.8
"658"  0.13  0.38  0.49
"659"  0.18  0.29  0.53
"660"  0.01  0.11  0.88
"661"  0.12  0.22  0.66
"662"  0.23  0.33  0.43
"663"  0.31  0.3  0.38
"664"  0.13  0.11  0.76
"665"  0.62  0.08  0.3
"666"  0.24  0  0.76
"667"  0.09  0.26  0.65
"668"  0.45  0.32  0.23
"669"  0.5  0.09  0.42
"670"  0.39  0.19  0.42
"671"  0.55  0.17  0.28
"672"  0.24  0.24  0.53
"673"  0.09  0.37  0.53
"674"  0.05  0.16  0.78
"675"  0.21  0.32  0.47
"676"  0.43  0.09  0.48
"677"  0.21  0  0.79
"678"  0.11  0.15  0.74
"679"  0.48  0.07  0.44
"680"  0.22  0.1  0.68
"681"  0.39  0.12  0.49
"682"  0.55  0.16  0.29
"683"  0.1  0.3  0.61
"684"  0.11  0.33  0.56
"685"  0.46  0.23  0.31
"686"  0.96  0.02  0.02
"687"  0.11  0.15  0.74
"688"  0.09  0.1  0.81
"689"  0.16  0.24  0.6
"690"  0.28  0.35  0.37
"691"  0.23  0.15  0.62
"692"  0.11  0  0.89
"693"  0.19  0.26  0.54
"694"  0.02  0.14  0.84
"695"  0.73  0.04  0.22
"696"  0.02  0.14  0.83
"697"  0.06  0.39  0.54
"698"  0.62  0.18  0.19
"699"  0.62  0.18  0.2
"700"  0.66  0.19  0.16
"701"  0.26  0.2  0.54
"702"  0.69  0.11  0.21
"703"  0.15  0.19  0.66
"704"  0.07  0.1  0.83
"705"  0.18  0.14  0.68
"706"  0.12  0.33  0.55
"707"  0.59  0.17  0.25
"708"  0.33  0.3  0.37
"709"  0.62  0.12  0.26
"710"  0.17  0.11  0.72
"711"  0.19  0.4  0.41
"712"  0.09  0.34  0.57
"713"  0.27  0  0.73
"714"  0.19  0.15  0.66
"715"  0.55  0.45  0
"716"  0.09  0.14  0.76
"717"  0.24  0.16  0.6
"718"  0.43  0.07  0.5
"719"  0.02  0.11  0.86
"720"  0.11  0.41  0.48
"721"  0.75  0.11  0.14
"722"  0.45  0.21  0.34
"723"  0.52  0.26  0.22
"724"  0.46  0.28  0.26
"725"  0.28  0.34  0.39
"726"  0.66  0.09  0.26
"727"  0.37  0.23  0.41
"728"  0.73  0.04  0.22
"729"  0.18  0.11  0.71
"730"  0.5  0.1  0.4
"731"  0.15  0.2  0.65
"732"  0.57  0.2  0.23
"733"  0.25  0.11  0.63
"734"  0.13  0.16  0.71
"735"  0.16  0.35  0.49
"736"  0.29  0.26  0.44
"737"  0.1  0.08  0.82
"738"  0.12  0.11  0.77
